2023,HDD,Gas (kWh),,2024,HDD,Gas (kWh),,2025,HDD,Gas (kWh),,,2023,2024,2025
27/10/2023,6.1,"24,706",,26/10/2024,4.5,"51,411",,,,,,,,,
28/10/2023,5.6,"39,293",,27/10/2024,5.9,"36,766",,,,,,,,,
29/10/2023,7.4,"35,435",,28/10/2024,2.5,"33,776",,,,,,,,,
30/10/2023,5.7,"33,754",,29/10/2024,4.3,"38,943",,,,,,,,,
31/10/2023,5.3,"32,793",,30/10/2024,4.5,"39,317",,,,,,,,,
01/11/2023,6.7,"35,902",,31/10/2024,4.1,"38,131",,,,,,,,,
02/11/2023,7.6,"38,175",,01/11/2024,3.7,"37,993",,,,,,,,,
03/11/2023,7,"37,298",,02/11/2024,4.6,"36,491",,,,,,,,,
04/11/2023,7.3,"6,780",,03/11/2024,4.1,"35,919",,,,,,,,,
05/11/2023,7.3,"31,691",,04/11/2024,4.3,"37,586",,,,,,,,,
06/11/2023,8.1,"40,938",,05/11/2024,3,"35,311",,,,,,,,,
07/11/2023,7.3,"36,251",,06/11/2024,1.5,"35,690",,,,,,,,,
08/11/2023,7.9,"40,906",,07/11/2024,3.3,"36,740",,,,,,,,,
09/11/2023,9.2,"41,923",,08/11/2024,4.4,"37,293",,,,,,,,,
10/11/2023,7,"45,716",,09/11/2024,3.2,"34,609",,,,,,,,,
11/11/2023,8.5,"46,486",,10/11/2024,2.7,"40,270",,,,,,,,,
12/11/2023,4.9,"36,728",,11/11/2024,6.1,"48,425",,,,,,,,,
13/11/2023,4.4,"37,942",,12/11/2024,7.9,"51,063",,,,,,,,,
14/11/2023,5.6,"41,067",,13/11/2024,9.4,"51,358",,,,,,,,,
15/11/2023,8.2,"48,323",,14/11/2024,4.7,"43,270",,,,,,,,,
16/11/2023,7.9,"51,494",,15/11/2024,4.9,"40,663",,,,,,,,,
17/11/2023,7.1,"46,636",,16/11/2024,6.5,"42,684",,,,,,,,,
18/11/2023,3.2,"30,606",,17/11/2024,6.5,"40,360",,,,,,,,,
19/11/2023,5,"31,766",,18/11/2024,5,"39,111",,,,,,,,,
20/11/2023,5.5,"40,937",,19/11/2024,9.4,"57,130",,,,,,,,,
21/11/2023,7.4,"45,483",,20/11/2024,13,"64,195",,,,,,,,,
22/11/2023,5.8,"41,139",,21/11/2024,14.1,"67,198",,,,,,,,,
23/11/2023,4.9,"39,229",,22/11/2024,13,"58,547",,,,,,,,,
24/11/2023,6.7,"45,734",,23/11/2024,3.3,"34,999",,,,,,,,,
25/11/2023,7.9,"44,143",,24/11/2024,6.8,"45,015",,,,,,,,,
26/11/2023,5.8,"38,933",,25/11/2024,10.2,"56,112",,,,,,,,,
27/11/2023,8.2,"49,570",,26/11/2024,10.9,"62,157",,,,,,,,,
28/11/2023,11.1,"55,145",,27/11/2024,11.5,"58,639",,,,,,,,,
29/11/2023,11.3,"55,029",,28/11/2024,5.6,"41,180",,,,,,,,,
30/11/2023,13.6,"58,366",,29/11/2024,3.4,"37,308",,,,,,,,,
01/12/2023,14.2,"61,353",,30/11/2024,3.1,"34,695",,,,,,,,,
02/12/2023,12.1,"57,987",,01/12/2024,5.3,"42,402",,,,,,,,,
03/12/2023,12,"53,717",,02/12/2024,9.6,"57,065",,,,,,,,,
04/12/2023,12.8,"58,371",,03/12/2024,8.3,"49,914",,,,,,,,,
05/12/2023,12.4,"55,679",,04/12/2024,5.7,"40,721",,,,,,,,,
06/12/2023,6.6,"43,781",,05/12/2024,5.2,"44,387",,,,,,,,,
07/12/2023,6,"43,904",,06/12/2024,7.1,"46,667",,,,,,,,,
08/12/2023,7.2,"54,866",,07/12/2024,9.1,"55,073",,,,,,,,,
09/12/2023,6.1,"59,354",,08/12/2024,10.4,"55,223",,,,,,,,,
10/12/2023,6.1,"58,845",,09/12/2024,12.1,"58,807",,,,,,,,,
11/12/2023,7.1,"48,208",,10/12/2024,11.3,"59,613",,,,,,,,,
12/12/2023,7.7,"45,957",,11/12/2024,11.3,"60,308",,,,,,,,,
13/12/2023,8.2,"47,635",,12/12/2024,10.7,"55,279",,,,,,,,,
14/12/2023,7.1,"48,899",,13/12/2024,9.9,"52,563",,,,,,,,,
15/12/2023,6.9,"45,258",,14/12/2024,9,"35,780",,,,,,,,,
16/12/2023,6,"41,576",,15/12/2024,6,"38,691",,,,,,,,,
17/12/2023,5.1,"40,218",,16/12/2024,6,"39,410",,,,,,,,,
18/12/2023,4,"41,602",,17/12/2024,4.5,"35,754",,,,,,,,,
19/12/2023,7.9,"50,718",,18/12/2024,6.9,"47,167",,,,,,,,,
20/12/2023,5.7,"44,028",,19/12/2024,10.7,"56,090",,,,,,,,,
21/12/2023,4.6,"43,250",,20/12/2024,8.8,"46,544",,,,,,,,,
22/12/2023,6.1,"45,408",,21/12/2024,6.6,"44,907",,,,,,,,,
23/12/2023,5.4,"41,806",,22/12/2024,10.4,"50,934",,,,,,,,,
24/12/2023,3.8,"39,959",,23/12/2024,6.4,"33,966",,,,,,,,,
25/12/2023,7.2,"47,899",,24/12/2024,5.2,"28,396",,,,,,,,,
26/12/2023,9,"51,662",,25/12/2024,5.9,"29,489",,,,,,,,,
27/12/2023,6.7,"48,887",,26/12/2024,6.4,"30,287",,,,,,,,,
28/12/2023,7.7,"51,888",,27/12/2024,7.2,"30,329",,,,,,,,,
29/12/2023,10.4,"55,023",,28/12/2024,8.2,"15,290",,,,,,,,,
30/12/2023,7.5,"49,706",,29/12/2024,7.5,"38,667",,,,,,,,,
31/12/2023,9.4,"53,323",,30/12/2024,6.9,"35,372",,,,,,,,,
,,,,31/12/2024,5.5,"34,729",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
